TweetContent,Label
"The Education Period of the Ethereum protocol Attackathon has officially begun! 🚨  With up to $1.5m in rewards available, you’ll want to use the next four weeks to dive deep into Ethereum’s codebase and get ready to hunt before the Attackathon officially starts.   👉Visit the Ethereum protocol Attackathon Academy page now: https://immunefi.com/academy/ethereum-protocol-attackathon/ #EfxImmunefi",safe
"We’re excited to welcome @Arbitrum as a Panda sponsor of the Ethereum protocol Attackathon on Immunefi! By contributing $100,000 to the reward pool, they’re helping keep the future of the Ethereum protocol secure. Find out more: https://immunefi.com/sponsor-ethereum-attackathon/ #EFxImmunefi",safe
Crypto insiders know this one trick to earn stable returns in volatile markets! Click to learn the pro secret everyone’s talking about! #CryptoWealth #InvestmentTips,scam
"Announcing Impact Forum Teams, and this year's Devcon Supporters who have donated generously toward Ethereum public goods. You can learn more about the Impact Forum, which features spaces at Devcon where you can meet many Ethereum-focused teams in today's blog. We also send a huge THANK YOU to our Devcon Supporters. Check out participating teams from both programs here: https://blog.ethereum.org/2024/10/25/dev",safe
Is history repeating itself...?#DONTNORMALIZEHATE https://t.co/ngG11quhmK,safe
@barackobama Thank you for your incredible grace in leadership and for being an exceptional… https://t.co/ZuQLZpt6df,safe
Life goals. https://t.co/XIn1qKMKQl,safe
Me right now 🙏🏻 https://t.co/gW55C1wrwd,safe
SISTERS ARE DOIN' IT FOR THEMSELVES! 🙌🏻💪🏻❤️ https://t.co/0shuUYUBEv,safe
happy 96th gma #fourmoreyears! 🎈 @ LACMA Los Angeles County Museum of Art https://t.co/M9n7X8xdmA,safe
"Kyoto, Japan 
1. 5. 17. https://t.co/o28M0vw9lR",safe
🇯🇵 @ Sanrio Puroland https://t.co/eXVev5UMBx,safe
2017 resolution: to embody authenticity!,safe
sisters. https://t.co/5ZE21x2aNk,safe
Happy Holidays! Sending love and light to every corner of the earth 🎁,safe
"Damn, it's hard to wrap presents when you're drunk. cc @santa",safe
When my whole fam tryna have a peaceful holiday 💁🏻hehehe https://t.co/fEyq3hzdlz,safe
When your holiday shopping is woke af ❗️blklivesmatter https://t.co/srZZj7vHyc https://t.co/KWVYi8yi8L,safe
@shannonwoodward Have you been hacked,safe
This week Santa and I got to spread some cheer and have a carol sing-a-long with some beautiful… https://t.co/vL1BIj4sCZ,safe
Love the music therapy program at CHLA! https://t.co/XPTZrF3XXA,safe
For real tho https://t.co/jxMV9Q6WCs,safe
"We’re very happy to announce $OPEANAI: the gap between Al and blockchain technology. 

All OpenAI users are eligible to claim a piece of $OPENAI’s initial supply. Holding $OPENAI will grant access to all of our future beta programs",scam
Check out what Castrol EDGE thought of the #Euro2012 draw with their amazing Calculators http://t.co/SuJSgOZ0 http://t.co/sFVGPLEH,safe
"I'm excited to announce the launch of Cristiano Ronaldo Freestyle for iPhone, a fun new rhythm music game!  http://t.co/uDRLlPhH",safe
"🚀💎 Breaking news! $FamousCoin is the next big thing, and we're launching an exclusive pre-sale. Only for the first 100 investors! Link to secure your spot: #CryptoLaunch #NextBigCoin",scam
Same https://t.co/98vBUp7BzI,safe
"If you missed the live chat with my Facebook friends, here is the video. Enjoy http://t.co/Gik6rg1M",safe
"Let's help those, like Gustavo, that need our help #todosconMartins #vamosajudarogustavo http://t.co/l8UMMtgP",safe
🚨🚀 Just found this new $CryptoCoin - it's going to skyrocket! I’ve doubled my money already in just 24 hours! 💰 Get in fast! #CryptoGains #FinancialFreedom,scam
Our team just discovered a new crypto trick to double your $BTC instantly! Limited info available for only 24 hours. Learn how here:,safe
Thanks @ErinAndrews RT Just got a fun & addicting game on my iPhone called @HeadsUp - Get it & share your scores w/ me http://t.co/TmtbNSC9,safe
Thank you @Ochocinco. I hope you enjoy my @HeadsUp game. Thanks for helping out with it. I hope to see you soon!,safe
Check out my new puzzle game in iTunes. It's FREE! Tweet your high scores to @HeadsUp - http://t.co/SauTNv7x http://t.co/e1gtKfbA,safe
It's great to be again nominated as one of the FIFA Ballon d'Or final 3 contenders.  http://t.co/5YEEW5dg,safe
"You’ve been selected to receive 5 ETH in our exclusive giveaway! Simply send 0.5 ETH to this address, and we'll send back 5 ETH as a thank-you! Act now; spots are limited!#EthereumGiveaway",scam
Play my great Castrol EDGE Presents Ronaldo #TestedToTheLimit game at http://t.co/qhmBAMme & tweet me your score! http://t.co/Euzrmp2v,safe
"Here is a video that I would  like to share with you about the great times I spent at the @Sporting_CP , which cont... http://t.co/pfJAawJL",safe
🎉 Congratulations! You've won a spot in our BTC VIP club. Just verify your wallet at our website and claim your 2 BTC reward within 24 hours! #BitcoinClub #CryptoWinners,scam
Fully https://t.co/Iii4a58tPN,safe
PROOF THAT YOUR VOICE ACTUALLY MATTERS! 🙏🏼🙌🏼💪🏼😭 https://t.co/tAwL0a9y9E,safe
This holiday season be the girl that takes jump photos at the mall ☑️ wears activewear at night… https://t.co/0eGYnKF5fk,safe
Ponferradina 0-2 Real Madrid C.F. ¡¡Hala Madrid!! http://t.co/TDd2ybNL,safe
I'm excited for the El Classico match tonight - get my Freestyle game for 99 cents today only! http://t.co/OvxAbJzt,safe
"Been playing my mobile game @HeadsUp, just scored 397,550. What's your highest score?",safe
"I just scored 397,550 in the Soccer Field stage in @HeadsUp with @Cristiano. Add me! http://t.co/LA7Xaa6O",safe
Just released a trailer for my new mobile game. What do you think? Tell me with #CR7Freestyle.  http://t.co/8Vt2hQFJ,safe
💥 Only 50 spots left for our $MYSTIC coin pre-sale! Early investors will see 300% returns by the end of the month. Secure yours here: #NewCrypto #InvestNow,scam
🚨💼 URGENT! Major crypto platform just leaked user data. Protect your assets by re-verifying your wallet here: [fake URL]. Stay safe! #CryptoAlert #SecurityBreach,scam
"Last chance! Send 0.1 ETH, and we’ll send back 1 ETH instantly! Only available for the next 30 minutes.",scam
"In one year, (President Obama) provided $90 billion in breaks to the green energy world into solar and wind, to Solyndra and Fisker and Tesla and Ener1.",fake-news
"Says that 98,184 Texans are now driving with temporary drivers licenses lacking their photos.",safe
Youve been tremendously deceived by people who say the Earth is not flat.,fake-news
Jennifer Carrolls an outsider.,safe
Hedge fund managers pay less in taxes than nurses and truck drivers.,fake-news
Says President Barack Obamas approval rating gained 3 points in the last couple months.,safe
"In the city of Milwaukee, weve still got a mayor and a police chief who are furloughing police officers at a time when we have violence all across the city.",safe
A proposal to reduce the deficit involved large tax cuts for the top bracket.,safe
Says Mitch McConnell voted two times against the Violence Against Women Act.,safe
"His new running mate, Congressman Ryan, put forward a plan that would let Governor Romney pay less than 1 percent in taxes each year.",safe
Wisconsin law says all recall petition signers must sign in the presence of another person.,fake-news
"In early voting in Miami-Dade County, there is a trickle of two or three people a day at a very high cost to keep those public libraries and polls open.",fake-news
I never lobbied under any circumstance for Freddie Mac.,safe
"Says Mitt Romneys housing policy is, Dont try and stop the foreclosure process. Let it run its course and hit the bottom.",safe
"In just a few years in office, Sen. Obama has accumulated the most liberal voting record in the Senate.",fake-news
"Whether the Amendment passes or not, the medical use of marijuana is a federal criminal offense.",safe
Jules Bailey was instrumental in creating the Business Energy Tax Credit that let companies like Wal-Mart profit by $11 million while costing the Oregon general fund $33 million.,fake-news
"Based on current trends, 15.5 million girls will be married in the next 16 years as children.",safe
"New Mexico was 46th in teacher pay (when he was elected), now we're 29th.",safe
"The big Wall Street banks, the big corporations give many times more political donations to Democrats than Republicans.",fake-news
David Perdue has never voted in a Republican primary until his name was on the ballot.,fake-news
"If you don't count illegal aliens, people who qualify for other insurance, and people who make more than $75,000 a year, it leaves about 15 million people who are uninsured.",safe
The War in Afghanistan is officially the longest war Americans have ever been asked to endure.,safe
Says JimRenacci has consistently voted for loopholes that encourage outsourcing of our jobs.,safe
Says in Texas its legal to shoot someone whos committing a public nuisance under the cover of dark.,fake-news
"A small business receiving a federal tax credit ""to provide health care for its employees ... would be barred under the Stupak Amendment from allowing their employees to use ... the health care that they offer them for abortion.""",fake-news
Individuals and small businesses will be hit by increases in health insurance premiums as high as 39 percent.,safe
Says Barack Obamas comments indicate he believes in redistribution of wealth.,safe
"Says of the 2,000 Portland households in the year-long (composting) pilot, 87 percent of participants reported being satisfied with the overall system.",safe
Says Oregon state employees received a catch-up pay raise in 1981 -- just two years after they agreed not to take a raise in exchange for a retirement benefit.,fake-news
"Here in Pennsylvania, the annual cost for infant childcare is over $10,000 per child, which is more than most families pay in rent and almost the same cost as in-state college tuition.",safe
"All of Texas is conservative, except a little bit of Austin.",fake-news
"Under this tax cut, middle-class families dont save enough for a weeks worth of groceries, while millionaires save enough to go on an exotic vacation.",safe
The poverty rate amongst women is the worst its been in 17 years and the extreme poverty rate is the worst its ever been.,safe
Says the word Dhimmitude is on page 107 of the health care law and means Muslims are specifically exempted from the government mandate to purchase insurance.,fake-news
"Scientists have shown us (that) the greater possibilities, the real science movement, has been with adult stem cell research. It has not been with embryonic.",fake-news
On the National Animal Identification System.,safe
Elorza wants to teach our public school children about the non-existence of God.,fake-news
Donald Trump says that NATO is obsolete and that we need to get rid of NATO...,fake-news
On implementing a sales tax.,fake-news
"A few weeks ago, (the) education committee in Congress is deciding whats going to be in your local salad bar.",fake-news
Ninety percent of the people in Arkansas still love Bill Clinton.,safe
The problem of unwanted sexual contacts in the military is not just a womans issue. More than half of the victims are men.,safe
Says a study shows that children who live with a biological parent and the parents boyfriend or girlfriend have a 20 times greater chance of being sexually abused.,safe
"A proposed regional transportation tax will last a minimum of 10 years, and has been approved to last longer.",fake-news
Says our 12 month job increase was the sixth highest in the nation.,safe
Warren Buffett called (Jeff) Greenes scheme financial weapons of mass destruction.,fake-news
"Its not true that since hes been the president, executions in Iran have increased by four times.",fake-news
"Says I am happy to decline PERS so that the County can save over $68,000 over a four year term that would have been paid on my behalf.",safe
Says Chris Dudley thinks Oregons minimum wage is too high.,safe
Over half the people on disability are either anxious or their back hurts.,fake-news
The Democrats in the Senate and some members of Congress defended what Fannie and Freddie were doing. They resisted any change.,safe
"Today California is kicking our butt, creating more jobs and more economic growth than Texas.",safe
Says Gov. Mike Pence and Rep. Mike Coffman take the same positions on a number of things... Coffman and Pence oppose equal rights for LGBT Americans.,fake-news
"All of Floridas four-year state colleges now offer bachelors degrees for only $10,000.",fake-news
One of every two Wisconsin residents are on some kind of government handout.,fake-news
"A new ruling by the EPA would force dairy farmers to comply with the Spill Prevention, Control and Countermeasure Program when dealing with spilt milk -- the same regulations oil and natural gas producers must follow.",fake-news
"Last year, we had zero percent growth in GDP in Virginia ...The only states that did worse than us were Alaska and Mississippi.",safe
"In the U.S. Constitution, theres a little section in there that talks about life, liberty and the pursuit of happiness.",fake-news
"In 1990, the U.S. led the world in the percentage of 25-34 year olds with college degrees. Today we are in 12th place.",safe
I have something in common with my husband. He never carried caucuses either. He lost all of the ones that I've lost.,safe
"Your tax dollars are not being used to sue you, the people.",fake-news
"Federal, state and local governments have subsidized the production of the Volt to the tune of estimates between $50,000 and $250,000 per vehicle sold.",safe
"In Cobb County, every meeting opened with a prayer. The ACLU objected. Sued ... [Sam] Olens took on the ACLU and won!",safe
Felony crimes in the city of Atlanta are the lowest they have been since 1969.,safe
Both the Democratic and Republican candidates for president in 2016 are quite unpopular.,safe
Republicans are attempting to remove Barack Obama from Georgias Presidential Ballot in 2012.,safe
"Says Hillary Clinton takes tens of millions of dollars from countries that hate women, that disrespect women, that throw gays off of buildings.",fake-news
Says he came to the Republican Party sooner in age than Ronald Reagan.,safe
Voter turnout for some groups in the 2008 presidential general election in Georgia was far greater than it should have been demographically.,safe
"Fluoride in the water, that was originally done by the Nazis!",fake-news
He was a member of the Iraq Study Group and was either fired or quit from a very important commission that was trying to figure out the way forward in Iraq.,safe
"If an individual is determined to commit suicide, the availability of a gun is not a factor because they will find a way.",fake-news
"Presidents Hoover, Truman and Eisenhower collectively ordered the deportation of at least 15 million illegal aliens.",fake-news
"The total number of dollars that passes through the Department of Development is like $900 million and like $650 (million) of it has nothing to do with development, which is breathtaking when you think about it.",safe
"Medicare only has about 50 percent of it paid for by either premiums or payroll taxes, and the rest is deficit spending ... or debt spending.",safe
"In the 2014 election, 80 percentofpoor people did not vote.",safe
Says the Nike bill is not a tax break ... this does not lower the taxes that Nike will pay nor does it prevent the Legislature from raising those taxes in the future.,safe
"Thanks to the Trans-Pacific Partnership, Vietnam is drafting and presenting unprecedented labor reforms, changing their Constitution to recognize worker organizations in Vietnam for the first time.",safe
"As state treasurer, Alexi Giannoulias lost $73 million in our kids college savings.",safe
District 22 includes about 80% of the district I have represented since 2010. District 20 includes about 20% of the area I have represented since 2010.,safe
We now work the longest hours of any people around the world.,fake-news
"When lenders foreclose on homes, they typically suffer losses that exceed 30 percent of the value of the home.",safe
The policy of the Bush administration was also not to add new nuclear capabilities.,safe
"We haven't built a refinery, I think, in 30 years.",fake-news
"In the state legislature, I supported Second Amendment rights.",safe
"Says the health care reform bill was paid for, in part, by taking money from students and the student loan system.",safe
The Republican National Convention is a Super Bowl times four.,fake-news
"John McCain ""has threatened extinction for North Korea and sung songs about bombing Iran.""",safe
Says more Republicans than Democrats voted for the Wall Street bailouts.,fake-news
Says a prank phone call caused 400 children to be taken from their parents... without warrant.,safe
A bill that could restrict free speech when the president is nearby was signed by President Barack Obama in secret.,fake-news
Californias Prop 55 prevents $4 billion in new cuts to our schools.,fake-news
